,rayon principal,lien rayon,sous rayon,lien sous rayon
0,Jouetsjeuxvidéoloisirs,https://www.auchan.fr/jouets-jeux-video-loisirs/ca-101042021,N/A,N/A
1,AucoeurdeNoël,https://www.auchan.fr/au-coeur-de-noel/ca-b202011041100,RepasdefÃªte,https://www.auchan.fr/au-coeur-de-noel/repas-de-fete/ca-b202210241400
2,AucoeurdeNoël,https://www.auchan.fr/au-coeur-de-noel/ca-b202011041100,VinschampagnesbiÃ¨resalcools,https://www.auchan.fr/au-coeur-de-noel/vins-champagnes-bieres-alcools/ca-b202110181737
3,AucoeurdeNoël,https://www.auchan.fr/au-coeur-de-noel/ca-b202011041100,Chocolatsdefind'annÃ©e,https://www.auchan.fr/au-coeur-de-noel/chocolats-de-fin-d-annee/ca-b202011041104
4,AucoeurdeNoël,https://www.auchan.fr/au-coeur-de-noel/ca-b202011041100,MaisondeNoÃ«l,https://www.auchan.fr/au-coeur-de-noel/maison-de-noel/ca-b202110181741
5,AucoeurdeNoël,https://www.auchan.fr/au-coeur-de-noel/ca-b202011041100,IdÃ©escadeaux,https://www.auchan.fr/au-coeur-de-noel/idees-cadeaux/ca-13224333
6,Produitslaitiersoeufsfromages,https://www.auchan.fr/oeufs-produits-laitiers/ca-n01,CrÃ¨merieoeufslaitsboissonsvÃ©gÃ©tales,https://www.auchan.fr/oeufs-produits-laitiers/cremerie-oeufs-laits/ca-n0101
7,Produitslaitiersoeufsfromages,https://www.auchan.fr/oeufs-produits-laitiers/ca-n01,Yaourtsfromagesblancs,https://www.auchan.fr/oeufs-produits-laitiers/yaourts-fromages-blancs/ca-n0102
8,Produitslaitiersoeufsfromages,https://www.auchan.fr/oeufs-produits-laitiers/ca-n01,Dessertscompotes,https://www.auchan.fr/oeufs-produits-laitiers/desserts-compotes/ca-n0103
9,Produitslaitiersoeufsfromages,https://www.auchan.fr/oeufs-produits-laitiers/ca-n01,FromagesÃ dÃ©gusterÃ lacoupe,https://www.auchan.fr/oeufs-produits-laitiers/fromages-a-deguster-a-la-coupe/ca-n0108
10,Produitslaitiersoeufsfromages,https://www.auchan.fr/oeufs-produits-laitiers/ca-n01,FromagesÃ cuisinerapÃ©ritifsrÃ¢pÃ©s,https://www.auchan.fr/oeufs-produits-laitiers/fromages-a-cuisiner-aperitifs-rapes/ca-n0106
11,Boucherievolaillepoissonnerie,https://www.auchan.fr/boucherie-volaille-poissonnerie/ca-n02,Boucherievolaillepoissonbioetlabel,https://www.auchan.fr/boucherie-volaille-poissonnerie/boucherie-volaille-poisson-bio-et-label/ca-n0207
12,Boucherievolaillepoissonnerie,https://www.auchan.fr/boucherie-volaille-poissonnerie/ca-n02,Volaillelapin,https://www.auchan.fr/boucherie-volaille-poissonnerie/volaille-lapin/ca-n0202
13,Boucherievolaillepoissonnerie,https://www.auchan.fr/boucherie-volaille-poissonnerie/ca-n02,Boucherie,https://www.auchan.fr/boucherie-volaille-poissonnerie/boucherie/ca-n0201
14,Boucherievolaillepoissonnerie,https://www.auchan.fr/boucherie-volaille-poissonnerie/ca-n02,PoissonscrustacÃ©s,https://www.auchan.fr/boucherie-volaille-poissonnerie/poissons-crustaces/ca-n0203
15,Boucherievolaillepoissonnerie,https://www.auchan.fr/boucherie-volaille-poissonnerie/ca-n02,Traiteurdelamer,https://www.auchan.fr/boucherie-volaille-poissonnerie/traiteur-de-la-mer/ca-n0204
16,Charcuterietraiteurpain,https://www.auchan.fr/charcuterie-traiteur-pain/ca-n12,Charcuterie,https://www.auchan.fr/charcuterie-traiteur-pain/charcuterie/ca-n1201
17,Charcuterietraiteurpain,https://www.auchan.fr/charcuterie-traiteur-pain/ca-n12,Traiteur,https://www.auchan.fr/charcuterie-traiteur-pain/traiteur/ca-n1202
18,Charcuterietraiteurpain,https://www.auchan.fr/charcuterie-traiteur-pain/ca-n12,SnackingsaladeplatscuisinÃ©s,https://www.auchan.fr/charcuterie-traiteur-pain/snacking-salade-plats-cuisines/ca-n1204
19,Charcuterietraiteurpain,https://www.auchan.fr/charcuterie-traiteur-pain/ca-n12,TraiteurvÃ©gÃ©tal,https://www.auchan.fr/charcuterie-traiteur-pain/traiteur-vegetal/ca-n120201
20,Charcuterietraiteurpain,https://www.auchan.fr/charcuterie-traiteur-pain/ca-n12,PainpÃ¢tisserie,https://www.auchan.fr/charcuterie-traiteur-pain/pain-patisserie/ca-n1203
21,Fruitslégumes,https://www.auchan.fr/fruits-legumes/ca-n03,FruitslÃ©gumesbio,https://www.auchan.fr/fruits-legumes/fruits-legumes-bio/ca-n0307
22,Fruitslégumes,https://www.auchan.fr/fruits-legumes/ca-n03,Fruits,https://www.auchan.fr/fruits-legumes/fruits/ca-n0301
23,Fruitslégumes,https://www.auchan.fr/fruits-legumes/ca-n03,LÃ©gumes,https://www.auchan.fr/fruits-legumes/legumes/ca-n0302
24,Fruitslégumes,https://www.auchan.fr/fruits-legumes/ca-n03,FruitslÃ©gumesprÃªtÃ consommer,https://www.auchan.fr/fruits-legumes/fruits-legumes-pret-a-consommer/ca-n0304
25,Fruitslégumes,https://www.auchan.fr/fruits-legumes/ca-n03,Jusdefruitsfraisgazpacho,https://www.auchan.fr/fruits-legumes/jus-de-fruits-frais-gazpacho/ca-n0305
26,Surgelés,https://www.auchan.fr/surgeles/ca-n04,N/A,N/A
