,rayon principal,lien rayon,sous rayon,lien sous rayon
0,Jouetsjeuxvidéoloisirs,https://www.auchan.fr/jouets-jeux-video-loisirs/ca-101042021,N/A,N/A
1,AucoeurdeNoël,https://www.auchan.fr/au-coeur-de-noel/ca-b202011041100,"0    RepasdefÃªte
Name: sous rayon, dtype: object","0    https://www.auchan.fr/au-coeur-de-noel/repas-d...
Name: lien sous rayon, dtype: object"
2,AucoeurdeNoël,https://www.auchan.fr/au-coeur-de-noel/ca-b202011041100,"0    VinschampagnesbiÃ¨resalcools
Name: sous rayon, dtype: object","0    https://www.auchan.fr/au-coeur-de-noel/vins-ch...
Name: lien sous rayon, dtype: object"
3,AucoeurdeNoël,https://www.auchan.fr/au-coeur-de-noel/ca-b202011041100,"0    Chocolatsdefind'annÃ©e
Name: sous rayon, dtype: object","0    https://www.auchan.fr/au-coeur-de-noel/chocola...
Name: lien sous rayon, dtype: object"
4,AucoeurdeNoël,https://www.auchan.fr/au-coeur-de-noel/ca-b202011041100,"0    MaisondeNoÃ«l
Name: sous rayon, dtype: object","0    https://www.auchan.fr/au-coeur-de-noel/maison-...
Name: lien sous rayon, dtype: object"
5,AucoeurdeNoël,https://www.auchan.fr/au-coeur-de-noel/ca-b202011041100,"0    IdÃ©escadeaux
Name: sous rayon, dtype: object","0    https://www.auchan.fr/au-coeur-de-noel/idees-c...
Name: lien sous rayon, dtype: object"
6,Produitslaitiersoeufsfromages,https://www.auchan.fr/oeufs-produits-laitiers/ca-n01,"0    CrÃ¨merieoeufslaitsboissonsvÃ©gÃ©tales
Name: sous rayon, dtype: object","0    https://www.auchan.fr/oeufs-produits-laitiers/...
Name: lien sous rayon, dtype: object"
7,Produitslaitiersoeufsfromages,https://www.auchan.fr/oeufs-produits-laitiers/ca-n01,"0    Yaourtsfromagesblancs
Name: sous rayon, dtype: object","0    https://www.auchan.fr/oeufs-produits-laitiers/...
Name: lien sous rayon, dtype: object"
8,Produitslaitiersoeufsfromages,https://www.auchan.fr/oeufs-produits-laitiers/ca-n01,"0    Dessertscompotes
Name: sous rayon, dtype: object","0    https://www.auchan.fr/oeufs-produits-laitiers/...
Name: lien sous rayon, dtype: object"
9,Produitslaitiersoeufsfromages,https://www.auchan.fr/oeufs-produits-laitiers/ca-n01,"0    FromagesÃ dÃ©gusterÃ lacoupe
Name: sous rayon, dtype: object","0    https://www.auchan.fr/oeufs-produits-laitiers/...
Name: lien sous rayon, dtype: object"
10,Produitslaitiersoeufsfromages,https://www.auchan.fr/oeufs-produits-laitiers/ca-n01,"0    FromagesÃ cuisinerapÃ©ritifsrÃ¢pÃ©s
Name: sous rayon, dtype: object","0    https://www.auchan.fr/oeufs-produits-laitiers/...
Name: lien sous rayon, dtype: object"
11,Boucherievolaillepoissonnerie,https://www.auchan.fr/boucherie-volaille-poissonnerie/ca-n02,"0    Boucherievolaillepoissonbioetlabel
Name: sous rayon, dtype: object","0    https://www.auchan.fr/boucherie-volaille-poiss...
Name: lien sous rayon, dtype: object"
12,Boucherievolaillepoissonnerie,https://www.auchan.fr/boucherie-volaille-poissonnerie/ca-n02,"0    Volaillelapin
Name: sous rayon, dtype: object","0    https://www.auchan.fr/boucherie-volaille-poiss...
Name: lien sous rayon, dtype: object"
13,Boucherievolaillepoissonnerie,https://www.auchan.fr/boucherie-volaille-poissonnerie/ca-n02,"0    Boucherie
Name: sous rayon, dtype: object","0    https://www.auchan.fr/boucherie-volaille-poiss...
Name: lien sous rayon, dtype: object"
14,Boucherievolaillepoissonnerie,https://www.auchan.fr/boucherie-volaille-poissonnerie/ca-n02,"0    PoissonscrustacÃ©s
Name: sous rayon, dtype: object","0    https://www.auchan.fr/boucherie-volaille-poiss...
Name: lien sous rayon, dtype: object"
